url.host,url,size_download,speed_download,time_starttransfer,time_total
speedtest.kapsi.fi,http://speedtest.kapsi.fi/1G,1048576000,124093126,0.025840,8.449912
ftp.funet.fi,ftp://ftp.funet.fi/dev/1GBnull,1073741824,111359297,0.924731,9.642139
sto-se-ping.vultr.com,https://sto-se-ping.vultr.com/vultr.com.1000MB.bin,1048576000,120515504,0.062808,8.700756
lon-gb-ping.vultr.com,https://lon-gb-ping.vultr.com/vultr.com.1000MB.bin,1048576000,9277468,0.153770,113.023937
ams-nl-ping.vultr.com,https://ams-nl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,8224596,0.140482,127.492692
blr-in-ping.vultr.com,https://blr-in-ping.vultr.com/vultr.com.1000MB.bin,1048576000,22185674,0.604253,47.263652
sgp-ping.vultr.com,https://sgp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,429962,0.710659,2438.758698
hnd-jp-ping.vultr.com,https://hnd-jp-ping.vultr.com/vultr.com.1000MB.bin,1048576000,13505602,0.893405,77.640074
syd-au-ping.vultr.com,https://syd-au-ping.vultr.com/vultr.com.1000MB.bin,1048576000,11762254,0.998931,89.147535
waw-pl-ping.vultr.com,https://waw-pl-ping.vultr.com/vultr.com.1000MB.bin,1048576000,86569699,0.219787,12.112506
par-fr-ping.vultr.com,https://par-fr-ping.vultr.com/vultr.com.1000MB.bin,1048576000,10086195,0.174985,103.961495
ga-us-ping.vultr.com,https://ga-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,2926220,0.408450,358.338005
lax-ca-us-ping.vultr.com,https://lax-ca-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,2385134,0.580517,439.629745
hon-hi-us-ping.vultr.com,https://hon-hi-us-ping.vultr.com/vultr.com.1000MB.bin,1048576000,17972653,0.684710,58.342860
la.speedtest.clouvider.net,https://la.speedtest.clouvider.net/1g.bin,1048576000,2545673,0.686301,411.905217
atl.speedtest.clouvider.net,https://atl.speedtest.clouvider.net/1g.bin,1048576000,2826972,0.490457,370.918385
nyc.speedtest.clouvider.net,https://nyc.speedtest.clouvider.net/1g.bin,1048576000,825820,0.556968,1269.738210
man.speedtest.clouvider.net,https://man.speedtest.clouvider.net/1g.bin,1048576000,4289316,0.290752,244.462274
ams.speedtest.clouvider.net,https://ams.speedtest.clouvider.net/1g.bin,1048576000,4147275,0.187163,252.834908
fra.speedtest.clouvider.net,https://fra.speedtest.clouvider.net/1g.bin,1048576000,5142631,0.191467,203.898735
dal.speedtest.clouvider.net,https://dal.speedtest.clouvider.net/1g.bin,1048576000,4426975,0.566055,236.860568
ash.speedtest.clouvider.net,https://ash.speedtest.clouvider.net/1g.bin,1048576000,3942857,0.454978,265.943131
phx.speedtest.clouvider.net,https://phx.speedtest.clouvider.net/1g.bin,1048576000,4572037,0.661236,229.345449
